Parametri	coerenti	con	TOOLBOX	-	azzerate	distorsioni			err		diff (toolbox no dist),(non coerenti)					
image	1.00	91,0916	-2,41158	178,848	0,528464	0,138367	36,1619	20	-0,4565		0,049	-0,73004	-0,555	0,641852	0,554527	-0,6703
image	2.00	91,0979	-2,05919	178,965	0,527313	0,141567	36,1449	20	-0,4565		0,0488	-0,63843	-0,547	0,641345	0,55527	-0,668
image	3.00	91,1178	-1,8945	179,089	0,526889	0,143698	36,1438	20	-0,4563		0,0479	-0,62602	-0,624	0,641974	0,555423	-0,6671
image	4.00	91,2313	-0,862888	178,948	1,4831	-0,148348	41,0873	20	-0,5277		0,1463	-1,444812	-0,991	0,726506	0,632098	-0,8563
image	5.00	91,226	-0,718082	178,846	1,48514	-0,146638	41,0904	20	-0,527		0,143	-1,469733	-0,909	0,726197	0,631864	-0,855
image	6.00	91,2472	-0,737762	178,911	1,48424	-0,146988	41,088	20	-0,5269		0,141	-1,409309	-0,899	0,725756	0,632471	-0,8551
image	7.00	91,1273	-2,63184	-179,998	1,65062	-0,517227	46,3118	20	-0,1344		0,0573	-0,98812	-2,191	0,835138	0,725913	-0,9421
image	8.00	91,1388	-2,06506	-179,932	1,65342	-0,511225	46,322	20	-0,1318		0,0553	-0,80499	-2,192	0,835636	0,727725	-0,9386
image	9.00	91,1139	-2,67669	179,971	1,64981	-0,516361	46,2794	20	-0,135		0,0583	-1,07144	357,869	0,834709	0,724719	-0,9468
image	10.00	91,1459	-2,1543	178,747	2,29653	-0,795769	51,4273	20	-0,0167		0,1069	-1,178955	357,923	0,9042	0,816151	-1,177
image	11.00	91,1447	-2,5541	178,784	2,29515	-0,796852	51,38	20	-0,0156		0,1018	-1,17506	357,92	0,90341	0,815508	-1,1755
image	12.00	91,1402	-2,46085	178,885	2,29538	-0,795094	51,3902	20	-0,018		0,1018	-1,1769	357,859	0,90411	0,815546	-1,1736
image	13.00	91,0599	-0,766655	179,766	3,94502	-0,776394	56,8679	20	0,0968		0,1772	-3,317395	357,006	1,02862	0,895186	-1,3275
image	14.00	91,0369	-0,454783	-179,915	3,94029	-0,775814	56,8672	20	0,0964		0,1649	-2,807893	-3,217	1,03124	0,898646	-1,3133
image	15.00	91,095	-4,43709	178,237	1,95031	-1,3158	61,4504	20	0,0001		0,0312	-3,837728	354,901	1,108305	0,97979	-1,7779
image	16.00	91,1237	-4,24684	178,236	1,95124	-1,31629	61,4587	20	0,0022		0,031	-3,732181	354,828	1,109044	0,98046	-1,7681
image	17.00	91,2498	-1,93721	-177,553	2,1543	-1,85145	71,5948	20	0,4914		0,7743	-7,31243	-7,454	1,326241	1,06035	-1,2472
image	18.00	91,1964	0,149914	-176,252	2,14774	-1,84112	71,6514	20	0,5358		0,7073	-5,137016	-6,242	1,320502	1,07221	-1,2059
image	19.00	90,9763	-1,37953	176,508	1,42273	-2,3774	81,8854	20	0,5336		-0,1654	1,17091	349,555	1,4679963	1,28652	-1,6912
image	20.00	90,9761	-0,548347	175,774	1,42998	-2,37323	81,9183	20	0,5527		-0,1288	1,545723	348,94	1,4716075	1,2916	-1,7492
image	21.00	91,215	-4,40881	-178,1	0,81124	-3,05211	91,6396	20	0,5101		-0,1252	-2,23462	-6,995	1,629094	1,44252	-1,8802
image	22.00	91,302	-4,1705	-177,075	0,809651	-3,0537	91,6749	20	0,7349		-0,0996	-1,99238	-6,504	1,62662	1,44116	-1,8162
image	23.00	91,4152	-6,04107	-173,129	1,07635	-3,54648	102,578	20	1,135		0,3059	-4,28572	-0,951	1,8433	1,64688	-2,214
image	24.00.00	91,556	-6,42117	-172,614	1,07577	-3,54317	102,483	20	1,11		0,3863	-4,62533	-0,849	1,839953	1,64676	-2,274
image	25.00.00	91,2999	-8,2715	173,752	0,729289	-4,19498	112,751	20	1,287		0,0706	-19,0441	344,163	2,094989	1,76691	-2,384
image	26.00.00	91,3515	-8,16036	174,274	0,726922	-4,1948	112,876	20	1,282		0,1403	-18,52726	344,433	2,093432	1,76823	-2,345
image	27.00.00	91,6565	-5,33593	-171,736	1,24093	-4,8777	122,745	20	1,466		0,0601	-2,60547	-1,747	2,214969	1,99838	-2,67
image	28.00.00	92,034	-6,93707	-170,668	1,24219	-4,8673	122,304	20	1,411		0,0718	-2,47339	-1,387	2,205769	1,99453	-2,713
image	29.00.00	91,3616	4,26689	-171,798	4,91529	6,92111	134,036	20	13,143		0,0964	-0,05934	-2,701	2,35593	2,11158	-2,735
image	30.00.00	91,447	4,19297	-171,395	4,9105	6,91347	133,897	20	2,947		0,1824	-0,61474	-2,765	2,35625	2,11198	-2,603
image	31.00.00	91,9035	-9,36324	-167,995	4,74362	7,46559	143,041	20	2,709		0,1673	-2,78039	-2,584	2,51203	2,23637	-3,09
image	32.00.00	92,1794	-10,4605	-167,487	4,73277	7,44073	142,561	20	1,145		0,1682	-2,71023	-2,239	2,50096	2,22539	-3,172
image	33.00.00	90,0024	8,12957	-172,326	5,70052	7,58778	152,554	20	3,116		-0,1275	-1,66199	0,811	2,76036	2,42147	-2,694
image	34.00.00	90,4373	5,98469	-174,678	5,74078	7,63747	153,469	20	2,358		-0,1055	-1,70099	0,766	2,77637	2,43387	-2,756
																
Parametri	coerenti	con	AICON								diff (toolbox no dist),(toolbox)					
image	1.00	90,6963	-0,738194	142,168	0,807452	-0,172986	27,7327	20			-0,0894	0,24419	-0,503	0,009306	0,017183	-0,6565
image	2.00	90,7095	-0,708542	142,208	0,807704	-0,173239	27,7224	20			-0,0905	0,29321	-0,596	0,010168	0,017975	-0,6565
image	3.00	90,735	-0,678747	142,258	0,808291	-0,17253	27,7253	20			-0,0917	0,28593	-0,73	0,011561	0,017789	-0,6563
image	4.00	90,8518	0,334011	142,598	1,4869	-0,520648	31,4516	20			-0,0899	-0,328428	-0,527	0,00297	0,019279	-0,8277
image	5.00	90,846	0,306936	142,589	1,48735	-0,520715	31,4526	20			-0,0928	-0,219486	-0,46	0,00212	0,020376	-0,827
image	6.00	90,8773	0,3483	142,62	1,48749	-0,520429	31,4581	20			-0,0907	-0,253226	-0,487	0,00257	0,020053	-0,8269
image	7.00	0	0	0	0	0	0	20			-0,1633	-0,44948	-1,17	0,03393	0,02831	-0,9344
image	8.00	0	0	0	0	0	0	20			-0,1655	-0,32211	-1,284	0,03493	0,029718	-0,9318
image	9.00	0	0	0	0	0	0	20			-0,163	-0,46638	358,861	0,03344	0,028271	-0,935
image	10.00	90,7017	1,11551	142,41	2,04327	-1,27205	39,3499	20			-0,2039	-0,13872	-0,836	0,01997	0,033347	-1,1167
image	11.00	90,6991	1,12722	142,454	2,04329	-1,27007	39,3336	20			-0,1954	-0,27076	-0,699	0,01883	0,032239	-1,1156
image	12.00	90,6957	1,13692	142,425	2,04374	-1,26866	39,3294	20			-0,1964	-0,29699	-0,797	0,01949	0,03204	-1,118
image	13.00	90,7636	1,4348	143,33	3,23569	-1,31986	43,3886	20			0,0208	-0,479798	0,44	0,03094	0,010423	-1,0032
image	14.00	0	0	0	0	0	0	20			0,0194	-0,4203195	-359,611	0,03133	0,010979	-1,0036
