Test start
elaborazione: 234
elaborazione: 141
elaborazione: 109
elaborazione: 141
elaborazione: 109
elaborazione: 125
elaborazione: 125
elaborazione: 156
elaborazione: 78
elaborazione: 172
elaborazione: 125
elaborazione: 110
elaborazione: 140
elaborazione: 125
elaborazione: 313
elaborazione: 172
elaborazione: 93
elaborazione: 125
elaborazione: 125
elaborazione: 125
elaborazione: 110
elaborazione: 110
elaborazione: 140
elaborazione: 125
elaborazione: 125
elaborazione: 141
elaborazione: 109
elaborazione: 125
elaborazione: 94
elaborazione: 187
elaborazione: 110
elaborazione: 109
elaborazione: 109
elaborazione: 110
elaborazione: 109
elaborazione: 110
elaborazione: 140
elaborazione: 188
elaborazione: 125
elaborazione: 93
elaborazione: 172
elaborazione: 125
elaborazione: 141
elaborazione: 109
elaborazione: 172
elaborazione: 94
elaborazione: 156
elaborazione: 156
elaborazione: 125
elaborazione: 125
totale elaborazione: 6718
