Parametri non coerenti - tracker UNDIST_NONE - no AICON undist

image 1  91,1118 -2,5 178,951 1,1725 -0,101045 36,1507 20 1
image 2  91,1151 -2,10522 179,079 1,17095 -0,0972443 36,1358 20 2
image 3  91,134 -1,97438 179,194 1,17065 -0,0955028 36,1353 20 3
image 4  91,238 -0,871609 179,137 2,21441 -0,419248 41,083 20 4
image 5  91,2316 -0,789866 179,012 2,21669 -0,418201 41,0849 20 5
image 6  91,2532 -0,79665 179,09 2,21563 -0,418409 41,0832 20 6
image 7  91,154 -2,5628 -179,831 2,47574 -0,821823 46,3097 20 7
image 8  91,1607 -2,0236 -179,764 2,47877 -0,816166 46,3211 20 8
image 9  91,1404 -2,57074 -179,848 2,47427 -0,820422 46,2782 20 9
image 10  91,1686 -2,17454 178,996 3,21206 -1,13477 51,4191 20 10
image 11  91,1698 -2,45672 179,049 3,20985 -1,13462 51,3747 20 11
image 12  91,1644 -2,37278 179,14 3,21036 -1,13301 51,3852 20 12
image 13  91,073 -0,878425 179,904 4,9592 -1,15208 56,8674 20 13
image 14  91,0483 -0,572322 -179,794 4,95485 -1,15159 56,8697 20 14
image 15  91,1401 -4,382 178,472 3,04474 -1,71993 61,4302 20 15
image 16  91,1694 -4,12136 178,541 3,04568 -1,72019 61,4457 20 16
image 17  91,2923 -2,7867 -178,077 3,43463 -2,32764 71,5711 20 17
image 18  91,261 -1,12649 -176,971 3,43213 -2,32146 71,6653 20 18
image 19  90,9942 -1,10808 177,016 2,88165 -2,91544 81,8779 20 19
image 20  90,982 -0,427028 176,382 2,88895 -2,91227 81,91 20 20
image 21  91,2504 -3,91701 -178,021 2,44809 -3,65559 91,6852 20 21
image 22  91,3153 -3,55294 -177,271 2,44918 -3,65792 91,7491 20 22
image 23  91,5052 -5,53294 -172,406 2,90668 -4,22346 102,651 20 23
image 24  91,6542 -5,92701 -171,868 2,90428 -4,21952 102,555 20 24
image 25  91,4383 -7,98841 174,567 2,73882 -4,93656 112,736 20 25
image 26  91,4889 -7,87036 175,09 2,73876 -4,93732 112,864 20 26
image 27  91,739 -4,81397 -170,96 3,43209 -5,68907 122,835 20 27
image 28  92,1404 -6,39652 -169,873 3,42559 -5,67602 122,4 20 28
